Sequence_ID	KAN4049539.1	KAN4049538.1	KAN4049537.1	KAN4049536.1	KAN4028371.1	KAN4028370.1	KAN4028369.1	KAN4028368.1	KAN4028367.1	KAN4028366.1	KAN4028365.1	KAN4028364.1	KAN4020167.1	KAN4019825.1	KAN4019824.1	KAN3988656.1	KAN3988622.1	KAN3988621.1	KAN3988620.1	KAN3937019.1	KAN3909434.1	KAN3898344.1	KAN3815460.1	KAN3796834.1	KAN3796733.1	KAN3276177.1	KAN3244679.1	KAN3244455.1	KAN1728004.1	KAN1727817.1	XP_081252512.1	XP_081251926.1	XP_081251925.1	XP_081279448.1	XP_081279447.1	XP_081279446.1	XP_081279445.1	XP_081279444.1	XP_080421443.1	XP_080457172.1	XP_080489744.1	XP_080489380.1	XP_080478064.1	XP_080478071.1	XP_080478070.1	XP_080478069.1	XP_080478068.1	XP_080478067.1	XP_080478066.1	XP_080478065.1	XP_080478063.1	XP_080226139.1	XP_080226138.1	XP_080225761.1	XP_080225760.1	XP_080255093.1	XP_080255092.1	XP_080216133.1	XP_080215990.1	XP_080202477.1	XP_079403352.1	XP_079395065.1	XP_079184151.1	XP_079167338.1	XP_079167337.1	XP_079167336.1	XP_079167335.1	XP_079167334.1	XP_079054589.1	XP_079054588.1	XP_079054587.1	XP_079064106.1	XP_079064077.1	KAM9657203.1	KAM9656907.1	KAM9656906.1	KAM9629049.1	KAM9629048.1	KAM9629047.1	KAM9629046.1	KAM9629045.1	KAM9629044.1	KAM9549035.1	KAM9549034.1	KAM9549033.1	KAM9549032.1	KAM9549031.1	KAM9549030.1	KAM9549029.1	KAM9520985.1	KAM9520627.1	KAM9380728.1	KAM9368738.1	KAM9287290.1	KAM9284415.1	KAM9267304.1	KAM9267244.1	KAM9255269.1	KAM9255060.1	KAM9236084.1	KAM9215082.1	KAM9188857.1	KAM9174645.1	KAM9010565.1	KAM9010564.1	KAM9010563.1	KAM9010562.1	KAM9010561.1	KAM9010560.1	KAM9010559.1	KAM9010558.1	KAM9010557.1	KAM8988953.1	KAM8988543.1	KAM8806775.1	KAM8795385.1	KAM8795200.1	KAM7097051.1	KAM7097050.1	KAM7097049.1	KAM7082031.1	KAM7074423.1	KAM7048750.1	KAM7048749.1	KAM7048748.1	KAM7048747.1	KAM7048746.1	KAM7048745.1	KAM7048744.1	KAM7029977.1	KAM7029976.1	KAM7029824.1	KAM7017246.1	KAM6993681.1	KAM6993576.1	KAM6421179.1	KAM6421178.1	KAM6421177.1	KAM6399256.1	KAM6397452.1	KAM6397451.1	KAM6368541.1	KAM6348312.1	KAM6334097.1	KAM6334096.1	KAM6334095.1	KAM6334094.1	KAM6333948.1	KAM6332697.1	KAM6332696.1	KAM6312410.1	KAM6312155.1	KAM6307105.1	KAM6295428.1	KAM6295375.1	KAM6268683.1	KAM6268682.1	KAM6268681.1	KAM6260583.1	KAM6238621.1	KAM6234076.1	KAM6234075.1	KAM6234074.1	KAM6234073.1	KAM6234072.1	KAM6200806.1	KAM6189981.1	KAM6189741.1	KAM6131972.1	KAM6129456.1	KAM6114929.1	KAM6107986.1	KAM6107800.1	KAM6079057.1	KAM6079056.1	KAM6079055.1	KAM6071054.1	KAM6071053.1	KAM6042744.1	KAM6042490.1	KAM6042489.1	KAM6042488.1	KAM6042305.1	KAM6042101.1	KAM4897387.1	KAM4884552.1	KAM4884515.1	KAM4776468.1	KAM4756934.1	KAM4756933.1	KAM4756552.1	KAM4669087.1	KAM4669086.1	KAM4669085.1	KAM4645386.1	KAM4645123.1	XP_021390439.2	XP_021390438.2	XP_021390437.2	XP_077644499.1
KAN4049539.1	100.00	100.00	100.00	100.00	98.52	98.52	98.04	93.95	87.77	97.99	97.99	97.99	57.05	32.60	32.60	55.56	30.18	30.18	30.18	97.32	58.05	31.87	96.32	58.05	29.78	98.33	56.71	31.75	32.97	58.72	58.05	32.97	32.97	95.73	87.03	87.03	98.33	98.33	58.05	95.99	57.05	33.71	94.71	85.71	95.32	95.32	95.32	95.32	95.32	88.80	95.32	57.05	57.05	33.70	33.70	97.32	97.32	32.35	57.05	95.99	57.38	95.99	56.38	97.40	97.32	97.32	89.37	97.32	96.32	90.00	96.32	32.97	58.05	57.38	32.97	32.97	99.00	99.00	99.00	99.00	99.00	99.00	95.99	95.99	95.99	95.99	95.99	95.99	95.99	32.20	57.72	95.65	57.38	97.66	98.33	32.23	57.72	57.38	31.87	97.99	57.05	96.32	57.72	95.99	95.99	95.99	95.99	95.99	95.99	95.99	95.99	95.99	57.72	32.20	94.98	34.94	54.30	99.33	99.33	94.31	57.38	31.87	97.55	93.49	96.66	96.66	96.66	89.60	96.66	55.89	55.89	29.71	98.33	31.16	55.37	96.99	89.20	96.99	55.03	98.25	97.99	57.72	97.32	24.90	33.56	32.23	24.90	56.71	96.99	96.99	35.04	58.72	97.32	31.64	57.05	96.32	88.80	96.32	99.00	57.38	57.05	57.05	57.05	42.16	39.29	98.33	58.05	32.23	96.99	97.66	57.72	58.72	31.87	96.99	96.99	96.99	96.66	96.66	33.33	48.59	58.39	39.91	57.72	33.33	97.66	30.91	55.56	98.33	28.73	18.06	56.57	94.98	94.98	94.98	31.82	57.05	97.66	97.66	97.66	30.18
KAN4049538.1	100.00	100.00	100.00	100.00	98.52	98.52	98.04	93.95	87.77	97.99	97.99	97.99	57.05	32.60	32.60	55.56	30.18	30.18	30.18	97.32	58.05	31.87	96.32	58.05	29.78	98.33	56.71	31.75	32.97	58.72	58.05	32.97	32.97	95.73	87.03	87.03	98.33	98.33	58.05	95.99	57.05	33.71	94.71	85.71	95.32	95.32	95.32	95.32	95.32	88.80	95.32	57.05	57.05	33.70	33.70	97.32	97.32	32.35	57.05	95.99	57.38	95.99	56.38	97.40	97.32	97.32	89.37	97.32	96.32	90.00	96.32	32.97	58.05	57.38	32.97	32.97	99.00	99.00	99.00	99.00	99.00	99.00	95.99	95.99	95.99	95.99	95.99	95.99	95.99	32.20	57.72	95.65	57.38	97.66	98.33	32.23	57.72	57.38	31.87	97.99	57.05	96.32	57.72	95.99	95.99	95.99	95.99	95.99	95.99	95.99	95.99	95.99	57.72	32.20	94.98	34.94	54.30	99.33	99.33	94.31	57.38	31.87	97.55	93.49	96.66	96.66	96.66	89.60	96.66	55.89	55.89	29.71	98.33	31.16	55.37	96.99	89.20	96.99	55.03	98.25	97.99	57.72	97.32	24.90	33.56	32.23	24.90	56.71	96.99	96.99	35.04	58.72	97.32	31.64	57.05	96.32	88.80	96.32	99.00	57.38	57.05	57.05	57.05	42.16	39.29	98.33	58.05	32.23	96.99	97.66	57.72	58.72	31.87	96.99	96.99	96.99	96.66	96.66	33.33	48.59	58.39	39.91	57.72	33.33	97.66	30.91	55.56	98.33	28.73	18.06	56.57	94.98	94.98	94.98	31.82	57.05	97.66	97.66	97.66	30.18
KAN4049537.1	100.00	100.00	100.00	100.00	98.46	98.46	98.08	94.83	89.82	97.99	97.99	98.03	53.95	32.52	32.52	52.69	29.91	29.91	29.91	97.46	54.80	32.22	96.62	55.37	29.66	98.59	53.67	31.21	32.52	55.37	54.80	32.83	32.83	96.25	89.15	89.15	98.33	98.31	54.80	96.62	53.95	33.44	95.08	87.80	95.32	95.32	95.32	95.32	95.32	90.20	95.49	53.95	53.95	33.13	33.13	97.32	97.75	31.40	53.67	96.34	54.52	96.34	53.39	97.40	97.32	97.32	91.29	97.75	96.32	91.50	96.62	34.04	55.65	54.24	32.83	32.83	99.00	99.00	92.17	99.15	90.75	90.75	95.99	95.99	95.99	95.99	95.99	95.99	96.06	32.19	55.08	96.34	54.24	98.03	98.59	32.22	54.80	54.24	32.22	98.03	53.95	96.90	54.52	95.99	95.99	95.99	95.99	95.99	95.99	95.99	95.99	96.06	55.08	32.19	95.49	34.15	52.74	95.33	99.15	83.24	54.52	31.91	98.08	94.83	96.66	96.66	96.66	91.50	97.18	52.97	52.97	30.12	98.59	30.72	52.54	96.99	91.18	97.46	52.54	98.25	98.03	54.52	97.75	26.54	33.66	32.52	26.54	53.67	96.99	97.46	34.55	55.65	97.75	31.72	54.24	96.32	90.85	96.90	99.15	54.24	53.95	53.95	53.95	41.15	38.93	98.59	55.08	32.52	97.46	98.03	54.80	56.21	31.91	96.99	96.99	97.46	96.66	97.18	32.83	45.92	55.08	39.43	54.52	32.52	98.03	30.82	52.69	98.31	29.31	18.06	53.54	94.98	94.98	94.93	31.56	54.52	97.66	97.66	97.75	29.61
KAN4049536.1	100.00	100.00	100.00	100.00	98.46	98.46	98.08	94.83	89.82	97.99	97.99	98.03	53.95	32.52	32.52	52.69	29.91	29.91	29.91	97.46	54.80	32.22	96.62	55.37	29.66	98.59	53.67	31.21	32.52	55.37	54.80	32.83	32.83	96.25	89.15	89.15	98.33	98.31	54.80	96.62	53.95	33.44	95.08	87.80	95.32	95.32	95.32	95.32	95.32	90.20	95.49	53.95	53.95	33.13	33.13	97.32	97.75	31.40	53.67	96.34	54.52	96.34	53.39	97.40	97.32	97.32	91.29	97.75	96.32	91.50	96.62	34.04	55.65	54.24	32.83	32.83	99.00	99.00	92.17	99.15	90.75	90.75	95.99	95.99	95.99	95.99	95.99	95.99	96.06	32.19	55.08	96.34	54.24	98.03	98.59	32.22	54.80	54.24	32.22	98.03	53.95	96.90	54.52	95.99	95.99	95.99	95.99	95.99	95.99	95.99	95.99	96.06	55.08	32.19	95.49	34.15	52.74	95.33	99.15	83.24	54.52	31.91	98.08	94.83	96.66	96.66	96.66	91.50	97.18	52.97	52.97	30.12	98.59	30.72	52.54	96.99	91.18	97.46	52.54	98.25	98.03	54.52	97.75	26.54	33.66	32.52	26.54	53.67	96.99	97.46	34.55	55.65	97.75	31.72	54.24	96.32	90.85	96.90	99.15	54.24	53.95	53.95	53.95	41.15	38.93	98.59	55.08	32.52	97.46	98.03	54.80	56.21	31.91	96.99	96.99	97.46	96.66	97.18	32.83	45.92	55.08	39.43	54.52	32.52	98.03	30.82	52.69	98.31	29.31	18.06	53.54	94.98	94.98	94.93	31.56	54.52	97.66	97.66	97.75	29.61
KAN4028371.1	98.52	98.52	98.46	98.46	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	54.65	35.10	35.10	54.26	34.02	34.02	34.02	97.68	54.26	35.51	97.30	55.43	33.74	98.07	54.26	35.51	35.92	54.65	55.04	35.92	35.92	97.68	97.68	97.68	98.03	97.68	55.43	96.14	53.88	36.40	96.14	96.14	96.55	96.55	96.55	96.55	96.55	96.14	96.14	54.26	54.26	36.33	36.33	97.54	97.68	34.57	53.88	96.14	55.43	96.14	54.65	99.01	99.01	99.01	98.84	98.84	97.54	97.30	97.30	37.14	56.20	55.04	35.51	35.51	98.52	98.52	88.98	98.46	87.20	87.20	96.55	96.55	96.55	96.55	96.55	96.55	96.14	35.98	55.43	96.14	55.04	97.68	98.07	35.10	55.04	54.65	35.51	96.91	55.43	96.14	55.04	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.14	55.43	35.98	94.98	35.51	55.43	92.89	98.07	76.40	54.65	34.69	98.46	98.46	98.52	98.52	98.52	98.46	98.46	53.88	53.88	35.51	98.84	34.29	54.26	97.04	97.30	97.30	53.49	98.46	98.46	54.26	97.68	32.00	34.15	35.51	32.00	53.88	98.03	98.07	38.78	55.81	97.30	35.51	55.43	95.57	96.14	96.14	98.07	54.65	53.88	53.88	53.88	44.64	44.64	98.07	55.04	35.92	97.30	97.68	54.65	56.98	35.10	97.04	97.04	97.30	97.54	97.68	35.10	45.06	54.65	45.06	54.65	34.69	98.84	34.84	53.88	98.84	33.61	17.86	54.26	95.57	95.57	94.98	34.73	54.65	98.52	98.52	98.84	33.20
KAN4028370.1	98.52	98.52	98.46	98.46	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	54.65	35.10	35.10	54.26	34.02	34.02	34.02	97.68	54.26	35.51	97.30	55.43	33.74	98.07	54.26	35.51	35.92	54.65	55.04	35.92	35.92	97.68	97.68	97.68	98.03	97.68	55.43	96.14	53.88	36.40	96.14	96.14	96.55	96.55	96.55	96.55	96.55	96.14	96.14	54.26	54.26	36.33	36.33	97.54	97.68	34.57	53.88	96.14	55.43	96.14	54.65	99.01	99.01	99.01	98.84	98.84	97.54	97.30	97.30	37.14	56.20	55.04	35.51	35.51	98.52	98.52	88.98	98.46	87.20	87.20	96.55	96.55	96.55	96.55	96.55	96.55	96.14	35.98	55.43	96.14	55.04	97.68	98.07	35.10	55.04	54.65	35.51	96.91	55.43	96.14	55.04	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.55	96.14	55.43	35.98	94.98	35.51	55.43	92.89	98.07	76.40	54.65	34.69	98.46	98.46	98.52	98.52	98.52	98.46	98.46	53.88	53.88	35.51	98.84	34.29	54.26	97.04	97.30	97.30	53.49	98.46	98.46	54.26	97.68	32.00	34.15	35.51	32.00	53.88	98.03	98.07	38.78	55.81	97.30	35.51	55.43	95.57	96.14	96.14	98.07	54.65	53.88	53.88	53.88	44.64	44.64	98.07	55.04	35.92	97.30	97.68	54.65	56.98	35.10	97.04	97.04	97.30	97.54	97.68	35.10	45.06	54.65	45.06	54.65	34.69	98.84	34.84	53.88	98.84	33.61	17.86	54.26	95.57	95.57	94.98	34.73	54.65	98.52	98.52	98.84	33.20
KAN4028369.1	98.04	98.04	98.08	98.08	100.00	100.00	100.00	99.62	99.62	99.51	99.51	99.62	54.44	34.96	34.96	54.05	33.88	33.88	33.88	97.31	54.05	35.37	96.92	55.21	33.61	97.69	54.05	35.37	35.77	54.44	54.83	35.77	35.77	97.31	97.69	97.69	97.55	97.31	55.21	95.77	53.67	36.25	95.77	96.15	96.08	96.08	96.08	96.08	96.08	95.77	95.77	54.05	54.05	36.18	36.18	97.06	97.31	34.43	53.67	95.77	55.21	95.77	54.44	99.02	98.53	98.53	98.46	98.46	97.06	96.92	96.92	36.99	55.98	54.83	35.37	35.37	98.04	98.04	88.61	98.08	86.85	86.85	96.08	96.08	96.08	96.08	96.08	96.08	95.77	35.83	55.21	95.77	54.83	97.31	97.69	34.96	54.83	54.44	35.37	96.54	55.21	95.77	54.83	96.08	96.08	96.08	96.08	96.08	96.08	96.08	96.08	95.77	55.21	35.83	94.62	35.37	55.21	92.48	97.69	76.10	54.44	34.55	98.08	98.08	98.04	98.04	98.04	98.08	98.08	53.67	53.67	35.37	98.46	34.15	54.05	96.57	96.92	96.92	53.28	98.08	98.08	54.05	97.31	31.86	34.15	35.37	31.86	53.67	97.55	97.69	38.62	55.60	96.92	35.37	55.21	95.10	95.77	95.77	97.69	54.44	53.67	53.67	53.67	44.64	44.64	97.69	54.83	35.77	96.92	97.31	54.44	56.76	34.96	96.57	96.57	96.92	97.06	97.31	34.96	45.06	54.44	45.06	54.44	34.55	98.46	34.69	53.67	98.46	33.47	17.73	54.05	95.10	95.10	94.62	34.58	54.44	98.04	98.04	98.46	33.06
KAN4028368.1	93.95	93.95	94.83	94.83	100.00	100.00	99.62	100.00	96.31	95.35	95.35	96.31	52.59	33.46	33.46	52.22	32.42	32.42	32.42	94.10	52.59	34.24	93.73	53.33	32.55	94.46	52.22	34.24	34.63	52.59	52.96	34.24	34.24	94.76	94.44	94.44	93.49	94.10	53.33	92.62	51.85	35.06	94.70	92.94	92.09	92.09	92.09	92.09	92.09	92.62	92.62	52.22	52.22	34.63	34.63	93.02	94.10	33.33	51.85	92.62	53.33	92.99	52.59	98.53	94.42	94.42	95.20	95.20	93.02	93.73	93.73	35.41	54.07	52.96	33.85	33.85	93.95	93.95	85.48	94.83	83.97	83.97	92.09	92.09	92.09	92.09	92.09	92.09	92.62	34.66	53.33	92.62	52.96	94.10	94.46	33.46	52.96	52.59	34.24	93.36	53.33	92.62	52.96	92.09	92.09	92.09	92.09	92.09	92.09	92.09	92.09	92.62	53.33	34.66	91.51	33.85	53.33	89.03	94.46	73.66	52.59	33.07	98.08	98.14	93.95	93.95	93.95	94.83	94.83	51.85	51.85	33.85	95.20	32.68	52.22	92.56	93.73	93.73	51.48	94.83	94.83	52.22	94.10	30.38	34.15	34.24	30.38	51.85	93.49	94.46	36.96	53.70	93.73	33.85	53.33	91.16	92.62	92.62	94.46	52.59	51.85	51.85	51.85	44.64	44.64	94.46	52.96	34.24	93.73	94.10	52.59	54.81	33.46	92.56	92.56	93.73	93.02	94.10	33.85	45.06	52.59	45.06	52.59	33.46	95.20	33.20	51.85	95.20	32.03	16.45	52.22	91.16	91.16	91.51	33.47	52.59	93.95	93.95	95.20	31.64
KAN4028367.1	87.77	87.77	89.82	89.82	100.00	100.00	99.62	96.31	100.00	89.08	89.08	91.23	50.00	31.97	31.97	50.00	31.60	31.60	31.60	89.12	49.65	32.71	89.12	50.70	31.46	89.47	49.65	32.59	33.09	49.65	50.35	32.71	32.71	95.13	92.75	92.75	87.34	89.12	50.70	87.72	49.30	33.85	94.32	89.64	86.03	86.03	86.03	86.03	86.03	88.07	87.72	49.65	49.65	33.09	33.09	86.90	89.12	31.84	49.30	88.07	50.70	87.72	50.35	98.53	88.21	88.21	90.53	90.18	86.90	89.12	88.77	33.83	51.41	50.35	32.34	32.34	87.77	87.77	80.53	89.82	79.35	79.35	86.03	86.03	86.03	86.03	86.03	86.03	87.72	33.46	50.70	87.72	50.35	89.12	89.47	31.97	50.35	50.00	32.34	88.42	50.70	87.72	50.35	86.03	86.03	86.03	86.03	86.03	86.03	86.03	86.03	87.72	50.70	33.46	86.67	32.71	51.61	83.67	89.47	69.57	50.00	31.97	98.08	95.17	87.77	87.77	87.77	90.18	89.82	49.65	49.65	32.59	90.18	31.11	50.00	86.46	89.12	88.77	48.94	91.76	89.82	49.65	89.12	29.88	34.15	32.71	29.88	49.30	87.34	89.47	35.19	51.06	88.77	32.34	50.70	85.15	88.07	87.72	89.47	50.00	49.30	49.30	49.30	44.12	43.93	89.47	50.35	32.71	88.77	89.12	50.00	52.11	31.97	86.46	86.46	88.77	86.90	89.12	32.34	45.06	49.65	44.35	50.00	31.97	90.18	31.60	49.65	90.18	30.48	15.15	49.65	85.15	85.15	86.67	32.31	50.00	87.77	87.77	90.18	30.48
KAN4028366.1	97.99	97.99	97.99	97.99	100.00	100.00	99.51	95.35	89.08	100.00	100.00	100.00	57.38	33.33	33.33	55.89	30.55	30.55	30.55	97.32	57.72	32.60	96.32	57.72	30.51	97.66	57.05	32.48	33.70	58.39	57.72	33.70	33.70	94.31	85.77	85.77	97.66	97.66	58.05	95.32	57.05	34.09	94.23	85.71	95.32	95.32	95.32	95.32	95.32	88.80	95.32	56.71	56.71	34.43	34.43	96.99	96.99	32.72	57.05	95.65	57.38	94.98	56.38	98.27	98.66	98.66	90.16	98.66	96.66	90.00	96.66	33.70	58.39	57.05	33.70	33.70	97.66	97.66	97.66	97.66	97.66	97.66	95.99	95.99	95.99	95.99	95.99	95.99	95.99	32.58	57.72	95.32	57.05	96.99	97.66	32.97	57.38	57.72	32.23	97.32	57.38	95.65	57.72	95.99	95.99	95.99	95.99	95.99	95.99	95.99	95.99	95.99	57.72	32.58	94.98	35.69	54.98	98.66	98.66	93.65	57.72	32.60	98.04	93.95	97.99	97.99	97.99	90.40	97.99	55.56	55.56	30.07	99.00	30.43	55.37	96.99	88.40	96.99	55.03	98.25	97.99	58.05	96.66	25.30	34.23	32.97	25.30	57.05	96.32	96.32	35.77	58.72	96.66	32.36	57.38	95.65	88.00	95.65	98.33	57.05	57.38	57.38	57.38	41.18	38.39	97.66	57.72	32.97	96.32	96.99	57.38	58.39	32.60	96.66	96.66	96.66	95.99	95.99	34.07	47.46	58.05	39.01	58.05	34.07	98.33	30.55	55.22	99.00	29.09	18.06	56.23	94.98	94.98	94.98	32.20	57.05	98.33	98.33	98.33	30.55
